T0,T2,T1,lagT1,lagT2,lagEnd,responseT1,responseT2,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials_context.thisRepN,trials_context.thisTrialN,trials_context.thisN,trials_context.thisIndex,trials_T1.thisRepN,trials_T1.thisTrialN,trials_T1.thisN,trials_T1.thisIndex,trials_T2.thisRepN,trials_T2.thisTrialN,trials_T2.thisN,trials_T2.thisIndex,thisRow.t,notes,instructions.started,text_insctructions.started,instructions.stopped,context.started,context_word.started,blankContext.started,context_word.stopped,blankContext.stopped,context.stopped,distractors.started,text_disctractors.started,text_disctractors.stopped,distractors.stopped,T1_number.started,text_T1.started,text_T1.stopped,T1_number.stopped,T2_probe.started,text_T2.started,text_T2.stopped,T2_probe.stopped,Ask_T1.started,blankT1_1.started,blankT1_1.stopped,text_T1ask.started,key_resp_T1.started,text_T1ask.stopped,blankT1_2.started,key_resp_T1.stopped,blankT1_2.stopped,Ask_T1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
PROMISE,XPLEDGE,2222222,7,1,12,f,f,0,0,0,5,,,,,0,0,0,8,,,,,3.9737170001026243,,0.01937240012921393,0.03716640011407435,0.20396850001998246,0.20899730012752116,0.22011110000312328,1.2042402001097798,1.2210971999447793,2.205543499905616,2.1891214000061154,3.9622438999358565,3.9737170001026243,4.057462899945676,4.041052599903196,3.7742675999179482,3.890445099910721,3.9737170001026243,3.957666400121525,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
XXBAGXX,XXSACKX,3333333,9,3,8,j,f,0,0,0,5,,,,,0,1,1,5,,,,,4.057462899945676,,,,,,,,,,,4.041314800037071,4.057462899945676,4.140883699990809,4.12453670008108,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
XSTOREX,XXSHOPX,1111111,9,3,8,j,f,0,0,0,5,,,,,0,2,2,1,,,,,4.140883699990809,,,,,,,,,,,4.1247888000216335,4.140883699990809,4.22401660005562,4.20795559999533,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
XWEEDSX,XROOTSX,7777777,8,3,9,j,f,0,0,0,5,,,,,0,3,3,7,,,,,4.22401660005562,,,,,,,,,,,4.2082072999328375,4.22401660005562,4.307913700118661,4.291460300097242,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
XHANDSX,XXFEETX,7777777,7,1,12,j,f,0,0,0,5,,,,,0,4,4,0,,,,,4.307913700118661,,,,,,,,,,,4.291717699961737,4.307913700118661,4.391025899909437,4.374754500109702,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
CURTAIN,XDRAPEX,8888888,9,7,4,f,f,0,0,0,5,,,,,0,5,5,2,,,,,4.391025899909437,,,,,,,,,,,4.375016200123355,4.391025899909437,4.474532899912447,4.458399499999359,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
XPONDER,XTHINKX,5555555,9,7,4,j,f,0,0,0,5,,,,,0,6,6,4,,,,,4.474532899912447,,,,,,,,,,,4.458662499906495,4.474532899912447,4.557815900072455,4.541723300004378,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
XXCATXX,XKITTEN,9999999,10,1,9,j,f,0,0,0,5,,,,,0,7,7,3,,,,,4.557815900072455,,,,,,,,,,,4.541970199905336,4.557815900072455,,4.624759099911898,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
XSTRAWX,XXHAYXX,4444444,7,1,12,f,f,0,0,0,5,,,,,0,8,8,6,,,,,4.641317999921739,,,,,,,,,,,4.625018799910322,4.641317999921739,,4.707934899954125,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
XPONDER,XTHINKX,5555555,9,7,4,j,f,0,0,0,5,,,,,,,,,0,0,0,4,4.874828800093383,,,,,,,,,,,4.863789400085807,4.874828800093383,4.958098999923095,4.942061200039461,,,,,4.708014199975878,4.791820199927315,4.874828800093383,4.858499800087884,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
CURTAIN,XDRAPEX,8888888,9,7,4,f,f,0,0,0,5,,,,,,,,,0,1,1,2,4.958098999923095,,,,,,,,,,,4.942313800100237,4.958098999923095,5.041589400032535,5.025891900062561,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
PROMISE,XPLEDGE,2222222,7,1,12,f,f,0,0,0,5,,,,,,,,,0,2,2,8,5.041589400032535,,,,,,,,,,,5.026159700006247,5.041589400032535,5.125322600128129,5.10872619994916,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
XSTOREX,XXSHOPX,1111111,9,3,8,j,f,0,0,0,5,,,,,,,,,0,3,3,1,5.125322600128129,,,,,,,,,,,5.108981000026688,5.125322600128129,5.208345500053838,5.192381399916485,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
XXCATXX,XKITTEN,9999999,10,1,9,j,f,0,0,0,5,,,,,,,,,0,4,4,3,5.208345500053838,,,,,,,,,,,5.192647800082341,5.208345500053838,5.292041799984872,5.275551799917594,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
XSTRAWX,XXHAYXX,4444444,7,1,12,f,f,0,0,0,5,,,,,,,,,0,5,5,6,5.292041799984872,,,,,,,,,,,5.275801599957049,5.292041799984872,5.376072100130841,5.358812700025737,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
XXBAGXX,XXSACKX,3333333,9,3,8,j,f,0,0,0,5,,,,,,,,,0,6,6,5,5.376072100130841,,,,,,,,,,,5.359063900075853,5.376072100130841,5.458580299979076,5.442545400001109,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
XHANDSX,XXFEETX,7777777,7,1,12,j,f,0,0,0,5,,,,,,,,,0,7,7,0,5.458580299979076,,,,,,,,,,,5.442813399946317,5.458580299979076,5.542213500011712,5.5258609999436885,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
XWEEDSX,XROOTSX,7777777,8,3,9,j,f,0,0,0,5,,,,,,,,,0,8,8,7,5.542213500011712,,,,,,,,,,,5.526120000053197,5.542213500011712,5.625449599931017,5.609214999945834,,,,,,,,,,,,,,,,,,,025444,001,2024-03-06_16h35.20.708,AB,2023.2.3,60.39617475530975,2024-03-06 16h35.29.754196 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6092850000131875,5.625449599931017,6.626902099931613,6.626902099931613,6.626902099931613,8.628291300032288,8.628291300032288,8.628291300032288,,9.613302499987185,,,,,,,,
