11.4271 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D938BD2DC0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D938BD2D60>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D938BD2B80>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001D93913ADC0>, multiSample=False, name='window1', numSamples=2, pos=(760, 390), screen=0, size=array([400, 300]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.4272 	EXP 	window1: mouseVisible = True
11.4272 	EXP 	window1: backgroundImage = ''
11.4272 	EXP 	window1: backgroundFit = 'none'
11.4288 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
11.4288 	EXP 	window1: recordFrameIntervals = False
11.5950 	EXP 	window1: recordFrameIntervals = True
11.7778 	EXP 	Screen (0) actual frame rate measured at 59.99Hz
11.7778 	EXP 	window1: recordFrameIntervals = False
11.7780 	EXP 	window1: mouseVisible = True
11.8982 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
16.8911 	EXP 	AB: status = STARTED
16.8914 	EXP 	window1: mouseVisible = True
17.0385 	EXP 	Created text_insctructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='text_insctructions', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
17.0387 	EXP 	window1: mouseVisible = True
